,business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,Phone Number,International Phone Number,Website,Google maps URL,price_level
0,OPERATIONAL,"{'location': {'lat': 38.715964, 'lng': -9.147454}, 'viewport': {'northeast': {'lat': 38.71731382989272, 'lng': -9.146104170107277}, 'southwest': {'lat': 38.71461417010728, 'lng': -9.14880382989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Farmácia Jardim Real - Grupo Progresso,{'open_now': True},"[{'height': 5120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101350467916327611182"">Farmácia Oliveira - Grupo Progresso</a>'], 'photo_reference': 'Aap_uEDiRYJcauVMfktR2TT82cdo5buBWFtbbZaMvraOO5DBobI7EDmsvcsG9qrrzG6lQEEQzbQfy1BP8RvbCgSTd6evmh_watSP4DPLS0DVe23-Yky_EpsqAvL8naSp9dquC-3rD-y5HVe2bZxQhcSWlrZiW9a3GZxBaE5N-p_Luv98Ff6u', 'width': 2448}]",ChIJwbPYEX8zGQ0RC_iC7UbGlic,"{'compound_code': 'PV83+92 Lisbon', 'global_code': '8CCGPV83+92'}",3.4,ChIJwbPYEX8zGQ0RC_iC7UbGlic,GOOGLE,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",15.0,"R. Dom Pedro V 123 125, Lisboa",21 324 0419,+351 21 324 0419,http://www.farmaciasprogresso.pt/,https://maps.google.com/?cid=2852685421920581643,
1,OPERATIONAL,"{'location': {'lat': 38.7150192, 'lng': -9.141774}, 'viewport': {'northeast': {'lat': 38.71648297989272, 'lng': -9.14036127010728}, 'southwest': {'lat': 38.71378332010728, 'lng': -9.143060929892723}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Farmácia Estácio,{'open_now': True},"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102892120879267465470"">João Madureira</a>'], 'photo_reference': 'Aap_uEChMgt9F05yrSur_IQaTd6hA5-az9kqVNL5agDOusbOXjWnru0tmJD8mGxoYmBEwhMJgsWbt-ebqINPalA9rh4KlY3aZ7Z9I6ZuvdZ68fuBRRIbKLA88Q5ftrycATLfeOljgZA_GcM-Pvu02LW8PoHECzaE6VuWi7_SB--3YxIe0LTj', 'width': 960}]",ChIJA5SkTYczGQ0Renry3iasSVo,"{'compound_code': 'PV85+27 Lisbon', 'global_code': '8CCGPV85+27'}",4.4,ChIJA5SkTYczGQ0Renry3iasSVo,GOOGLE,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",34.0,"Praça dos Restauradores 15, Lisboa",21 322 5540,+351 21 322 5540,https://www.farmaciaestacio.pt/,https://maps.google.com/?cid=18286300349396267529,
2,OPERATIONAL,"{'location': {'lat': 38.7183014, 'lng': -9.1520482}, 'viewport': {'northeast': {'lat': 38.71957462989272, 'lng': -9.150745670107277}, 'southwest': {'lat': 38.71687497010728, 'lng': -9.15344532989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Farmácia São Mamede,{'open_now': True},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117578078266549945970"">Hugo Pinto</a>'], 'photo_reference': 'Aap_uEDqCxaX3SjkUQEM_7ilkghDH-kXMzSNAGI-8AZBnH5uYaYGhzp3COeli1vfwWX5Q3PAVlHTYf_xl2PUWFFepn7rxgPKxnYi5v2qovTxlVTqca79ZPKXpV6XDC1Tl9eZWbmp2oY7pHvFkG0AGklNJ5xjjGyCqohtWWqDdNRwnYRuvRef', 'width': 1080}]",ChIJVekf7nszGQ0Rg_O1j-3rSsw,"{'compound_code': 'PR9X+85 Lisbon', 'global_code': '8CCGPR9X+85'}",3.9,ChIJVekf7nszGQ0Rg_O1j-3rSsw,GOOGLE,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",45.0,"R. da Escola Politécnica, Lisboa",,,http://www.f-saomamede.pt/,"https://maps.google.com/?q=S%C3%A3o+Mamede,+Lisboa,+Portugal&ftid=0xd19337bb0508e7d:0x500ebbde4904380",
3,OPERATIONAL,"{'location': {'lat': 38.7133355, 'lng': -9.1397982}, 'viewport': {'northeast': {'lat': 38.71468532989272, 'lng': -9.138448370107275}, 'southwest': {'lat': 38.71198567010728, 'lng': -9.141148029892719}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Farmácia Azevedos,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101454137474860027917"">Farmácia Azevedos</a>'], 'photo_reference': 'Aap_uEANjpbWVPpPUqHthXrLa2e8ILLhLX7yrKyEhRro9GMRgiNk1XGc8V1a5NDMc29QnmN5PAAPKMQ5lmReCgInSWjW6IxCDDWi5slK78T2xXgTGXpHOXL5bV3VTk15b2YzLsgqGswA5IhWjHcDznHkG4VFoH2tehRryefbkRxm-RqaN2Fg', 'width': 5312}]",ChIJceUyRoczGQ0RfSx4xOxqFWA,"{'compound_code': 'PV76+83 Lisbon', 'global_code': '8CCGPV76+83'}",3.9,ChIJceUyRoczGQ0RfSx4xOxqFWA,GOOGLE,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",41.0,"Praça Dom Pedro IV 31, Lisboa",21 340 1210,+351 21 340 1210,https://www.facebook.com/FarmaciaAzevedoEFilhos?ref=hl,https://maps.google.com/?cid=6923557567293041789,
4,OPERATIONAL,"{'location': {'lat': 38.710762, 'lng': -9.1385385}, 'viewport': {'northeast': {'lat': 38.71211182989271, 'lng': -9.137188670107276}, 'southwest': {'lat': 38.70941217010727, 'lng': -9.13988832989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Pharmácia Teixeira Lopes,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117697016208758597608"">IRAN PEIXOTO</a>'], 'photo_reference': 'Aap_uECLQIHOd7r_kKViQOvumtInOcTISwxEZ_67J8hplrsVpreHwyGTDkQsixWPlq1Fp8adM55b1pArGRW2pL84Wl0YtBiFigaV0q3lgV_kvFwRFch4u_nRklP5Uy8WapFYwnHjXyp4i7jvqBnf-3-QcbnppmoWwumzCY71Xc2utdtJ3vY', 'width': 4032}]",ChIJ674wHnk0GQ0RsiY6yqS7slg,"{'compound_code': 'PV66+8H Lisbon', 'global_code': '8CCGPV66+8H'}",4.5,ChIJ674wHnk0GQ0RsiY6yqS7slg,GOOGLE,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",14.0,"R. Áurea 154, Lisboa",21 342 4816,+351 21 342 4816,,https://maps.google.com/?cid=6391377137633994418,
5,OPERATIONAL,"{'location': {'lat': 38.7173163, 'lng': -9.1495718}, 'viewport': {'northeast': {'lat': 38.71862662989272, 'lng': -9.148239870107277}, 'southwest': {'lat': 38.71592697010728, 'lng': -9.150939529892721}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Farmácia Príncipe Real,{'open_now': True},"[{'height': 2000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113518244353856724009"">A Google User</a>'], 'photo_reference': 'Aap_uEBVUXB9NfGHwxhMsgFj7Xw2YXEsLeSlhmTMCtWFFfQuEGNFj1swymIWhimyrcBT6ux289Qybn2og_WUCYL5M8FumNFvlZ_pFlNOMcjZ39C1a0alN0KbizsoJdsbZVLFldMreveKleKO5PgU3ylubzH0NuWGz778PDkKB-OKYHpS-x-S', 'width': 3008}]",ChIJmc0byX4zGQ0RxQcp8BMj9po,"{'compound_code': 'PV82+W5 Lisbon', 'global_code': '8CCGPV82+W5'}",4.9,ChIJmc0byX4zGQ0RxQcp8BMj9po,GOOGLE,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",8.0,"R. da Escola Politécnica 16, Lisboa",21 342 5455,+351 21 342 5455,https://www.farmaciasportuguesas.pt/catalogo/ficha-farmacia?code=00353,https://maps.google.com/?cid=11166150894652295109,
6,OPERATIONAL,"{'location': {'lat': 38.7107664, 'lng': -9.141461999999999}, 'viewport': {'northeast': {'lat': 38.71211622989271, 'lng': -9.140112170107276}, 'southwest': {'lat': 38.70941657010727, 'lng': -9.14281182989272}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Farmácia Sacoor do Chiado,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100390678249125586864"">Ricardo Salgado</a>'], 'photo_reference': 'Aap_uEAIFj-1HZInFPjDL1rApThlOTr1gal6EKa_BPNZjzZaT83jly6sxhcO20LjbWka8rxf0AfQDTvqvzh7XFkDaNEthWPn9YLlF_cO7UZ0ICo12sVhRK78ibIKTGE5P3VDCyyPi33HnjdGlX3BHpLFWMG2ZuHYMM1Of0FnqFrLrr-UTVU', 'width': 4608}]",ChIJU4LSIX80GQ0RhsZ6CAQql24,"{'compound_code': 'PV65+8C Lisbon', 'global_code': '8CCGPV65+8C'}",4.2,ChIJU4LSIX80GQ0RhsZ6CAQql24,GOOGLE,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",35.0,"R. Garrett nº 90 92, Lisboa",21 342 4166,+351 21 342 4166,http://www.farmaciasacoor.pt/,https://maps.google.com/?cid=7968884262465881734,
7,OPERATIONAL,"{'location': {'lat': 38.71174610000001, 'lng': -9.1388485}, 'viewport': {'northeast': {'lat': 38.71312257989272, 'lng': -9.13757272010728}, 'southwest': {'lat': 38.71042292010728, 'lng': -9.140272379892723}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Farmácia Internacional,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106784197723745076481"">Sergio Musetti</a>'], 'photo_reference': 'Aap_uEBNs1cEORpXgTnPchEssY5Hkqlg-0AM2GCoxzKKfSBYvGQyqdE5cnpCRCe1YlUpVVoaaWzb1PsiR4_3YhJ-uIJbllQxY_rlZNNbhoXCjWUGtl1znppQaoZTJ2iWH7G6x6Cyw3KHsQGQd4xZtwOh_rRQ2kNoQ1m10u6LfoyfzGYEew1F', 'width': 4032}]",ChIJlWBzwXg0GQ0RsFlXa3gFMZU,"{'compound_code': 'PV66+MF Lisbon', 'global_code': '8CCGPV66+MF'}",3.3,ChIJlWBzwXg0GQ0RsFlXa3gFMZU,GOOGLE,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",18.0,"R. do Comércio 228, Lisboa",21 324 1360,+351 21 324 1360,http://www.farmaciainternacional.pt/,https://maps.google.com/?cid=10750379800265185712,
8,OPERATIONAL,"{'location': {'lat': 38.7095411, 'lng': -9.1661429}, 'viewport': {'northeast': {'lat': 38.71093967989272, 'lng': -9.164866020107278}, 'southwest': {'lat': 38.70824002010728, 'lng': -9.167565679892721}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Farmácia Andrade Ribeiro,{'open_now': True},"[{'height': 751, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113188734017251816464"">Mário Correia</a>'], 'photo_reference': 'Aap_uEANmMTCSkhggx5EgwhfqaZdgDVGnRPHvrO4kKrS_t5aS0JnimsaAm6q_GUN3Xx3JDJT8B00j157ftG7cyz7LcDg3F87ou2DMOWGZFK6Y1igRwDtqRzcSXmitZxHHSM_J415_-pAeYhENdU69_eyzVHqb8_1Ow_R2TAOJY9jx75dPX-m', 'width': 1024}]",ChIJbYC0uJ80GQ0RekjflpJA5PE,"{'compound_code': 'PR5M+RG Lisbon', 'global_code': '8CCGPR5M+RG'}",3.1,ChIJbYC0uJ80GQ0RekjflpJA5PE,GOOGLE,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",9.0,"Av. Infante Santo 66, Lisboa",21 395 5257,+351 21 395 5257,,https://maps.google.com/?cid=17430127456171280506,
9,OPERATIONAL,"{'location': {'lat': 38.7050549, 'lng': -9.167802499999999}, 'viewport': {'northeast': {'lat': 38.70637182989272, 'lng': -9.166461720107279}, 'southwest': {'lat': 38.70367217010728, 'lng': -9.169161379892723}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/pharmacy-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/pharmacy_pinlet,Farmácia Infante Santo,{'open_now': True},"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113469728180171113686"">David Inácio</a>'], 'photo_reference': 'Aap_uEBUAzdD7AVuDhEYcswcdJ_4XRUeCFdqnM1K7vy0X3VJZ1hSAU12U9INrtc5mHd0nC72-W4R9l5d-NaD_5eZkZaryd9sQAqqdQNbApjY-oKABkSr4IP485lZUmNM8hvacqBA7R-LHbuZX2weD9zYDfyPiVMkTUSk6Fvfy5QurizPVpBe', 'width': 4160}]",ChIJy2TCCaI0GQ0R0KanaunugjI,"{'compound_code': 'PR4J+2V Lisbon', 'global_code': '8CCGPR4J+2V'}",4.1,ChIJy2TCCaI0GQ0R0KanaunugjI,GOOGLE,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",9.0,"R. do Olival 290, Lisboa",21 396 1003,+351 21 396 1003,https://www.farmaciasportuguesas.pt/catalogo/ficha-farmacia?code=09229,https://maps.google.com/?cid=3639734135152944848,
