,Name,Compl_Name,place_id,types,International Phone Number,Website,rating,user_ratings_total,vicinity,location.lat,location.lng,Google maps URL
0,Farmácia Jardim Real , Grupo Progresso,ChIJwbPYEX8zGQ0RC_iC7UbGlic,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 324 0419,http://www.farmaciasprogresso.pt/,3.4,15.0,"R. Dom Pedro V 123 125, Lisboa",38.715964,-9.147454,https://maps.google.com/?cid=2852685421920581643
1,Farmácia Estácio,,ChIJA5SkTYczGQ0Renry3iasSVo,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 322 5540,https://www.farmaciaestacio.pt/,4.4,34.0,"Praça dos Restauradores 15, Lisboa",38.7150192,-9.141774,https://maps.google.com/?cid=18286300349396267529
2,Farmácia São Mamede,,ChIJVekf7nszGQ0Rg_O1j-3rSsw,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",,http://www.f-saomamede.pt/,3.9,45.0,"R. da Escola Politécnica, Lisboa",38.7183014,-9.1520482,"https://maps.google.com/?q=S%C3%A3o+Mamede,+Lisboa,+Portugal&ftid=0xd19337bb0508e7d:0x500ebbde4904380"
3,Farmácia Azevedos,,ChIJceUyRoczGQ0RfSx4xOxqFWA,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 340 1210,https://www.facebook.com/FarmaciaAzevedoEFilhos?ref=hl,3.9,41.0,"Praça Dom Pedro IV 31, Lisboa",38.7133355,-9.1397982,https://maps.google.com/?cid=6923557567293041789
4,Pharmácia Teixeira Lopes,,ChIJ674wHnk0GQ0RsiY6yqS7slg,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 342 4816,,4.5,14.0,"R. Áurea 154, Lisboa",38.710762,-9.1385385,https://maps.google.com/?cid=6391377137633994418
5,Farmácia Príncipe Real,,ChIJmc0byX4zGQ0RxQcp8BMj9po,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 342 5455,https://www.farmaciasportuguesas.pt/catalogo/ficha-farmacia?code=00353,4.9,8.0,"R. da Escola Politécnica 16, Lisboa",38.7173163,-9.1495718,https://maps.google.com/?cid=11166150894652295109
6,Farmácia Sacoor do Chiado,,ChIJU4LSIX80GQ0RhsZ6CAQql24,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 342 4166,http://www.farmaciasacoor.pt/,4.2,35.0,"R. Garrett nº 90 92, Lisboa",38.7107664,-9.141462,https://maps.google.com/?cid=7968884262465881734
7,Farmácia Internacional,,ChIJlWBzwXg0GQ0RsFlXa3gFMZU,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 324 1360,http://www.farmaciainternacional.pt/,3.3,18.0,"R. do Comércio 228, Lisboa",38.71174610000001,-9.1388485,https://maps.google.com/?cid=10750379800265185712
8,Farmácia Andrade Ribeiro,,ChIJbYC0uJ80GQ0RekjflpJA5PE,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 395 5257,,3.1,9.0,"Av. Infante Santo 66, Lisboa",38.7095411,-9.1661429,https://maps.google.com/?cid=17430127456171280506
9,Farmácia Infante Santo,,ChIJy2TCCaI0GQ0R0KanaunugjI,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 396 1003,https://www.farmaciasportuguesas.pt/catalogo/ficha-farmacia?code=09229,4.1,9.0,"R. do Olival 290, Lisboa",38.7050549,-9.1678025,https://maps.google.com/?cid=3639734135152944848
10,Farmácia Conde Barão,,ChIJWQ7jl4M0GQ0R-8yDz1gVPCQ,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 396 4238,https://farmacia-conde-barao.negocio.site/,4.0,27.0,"Calçada Marquês Abrantes 36, Lisboa",38.7083652,-9.1532143,https://maps.google.com/?cid=2610985355150871803
11,Farmácia Alb,,ChIJJe_u0GEzGQ0RMznqBknAFOc,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 396 3562,http://www.facebook.com/farmacia.alb,5.0,8.0,"R. de Sant'Ana à Lapa 133, Lisboa",38.7118128,-9.1644128,https://maps.google.com/?cid=16651145142176725299
12,Farmácia Nacional,,ChIJs-LOnngzGQ0R9MnDNDtwYwg,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 882 2232,https://www.farmaciasportuguesas.pt/catalogo/ficha-farmacia?code=17582,4.5,11.0,"R. do Salitre 7, Lisboa",38.7195155,-9.1459799,https://maps.google.com/?cid=3832938997281123913
13,Farmácia Barreto,,ChIJ2wSHyX80GQ0RQtPxCTHQ40U,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 342 7284,https://www.farmaciasportuguesas.pt/catalogo/ficha-farmacia?code=00841,4.5,19.0,"Rua do Loreto 24 30, Lisboa",38.7107781,-9.1444693,https://maps.google.com/?cid=5036097717369164610
14,Farmácia Confiança,,ChIJueqHKnwzGQ0RmIY9hG6TYhk,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 495 1703,,3.8,12.0,"Praça das Flores 58, Lisboa",38.71518880000001,-9.1511808,https://maps.google.com/?cid=10615212434644824590
15,Farmácia Almeida,,ChIJ7S_CxWUzGQ0RFlgp3wvbdEI,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 931 5446,https://www.farmaciasdeservico.net/localidade/lisboa/odivelas,4.8,16.0,"R. Silva Carvalho 136 R/C, Lisboa",38.7201598,-9.1612456,https://maps.google.com/?cid=10931616845886597424
16,Farmácia Marques Freire,,ChIJJc_xl2EzGQ0RLLp1KzPJUzs,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 395 9986,,4.5,2.0,"R. Santo António à Estrela 98, Lisboa",38.7134426,-9.1634754,https://maps.google.com/?cid=4274981692914383404
17,Farmácia Moz Teixeira,,ChIJEeTTLII0GQ0RDgTOtGB6ATw,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 390 0670,,3.8,12.0,"R. do Poço dos Negros 115, Lisboa",38.709797,-9.151632,https://maps.google.com/?cid=4323871673021236238
18,Farmácia Martins,,ChIJC1BSvGIzGQ0REnmItMNaRkQ,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 974 7855,,4.6,24.0,"Calçada da Estrela 167, Lisboa",38.712685,-9.1579104,https://maps.google.com/?cid=733251627613175202
19,Farmácia Castro Sucr.,,ChIJvSHY8XwzGQ0RMSxjSG7gg2w,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 396 0513,,5.0,8.0,"R. de São Bento 199A, Lisboa",38.7155767,-9.1547171,https://maps.google.com/?cid=7819340142310796337
20,Farmácia Central,,ChIJVw1I-p01GQ0RHrySZAqjEy0,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']",+351 21 221 0365,http://www.facebook.com/farmaciapaiopires,3.3,9.0,"Rua de S. Paulo 108, Lisboa",38.7079771,-9.1447593,https://maps.google.com/?cid=10500600501596063941
